service_id,date,exception_type
12773307,20190603,1
12773307,20190611,1
12773307,20190617,1
12773307,20190624,1
12773307,20190701,1
12773307,20190708,1
12773306,20190128,1
12773306,20190204,1
12773306,20190211,1
12773306,20190218,1
12773306,20190225,1
12773306,20190304,1
12773306,20190311,1
12773306,20190318,1
12773306,20190325,1
12773306,20190401,1
12773306,20190408,1
12773306,20190415,1
12773306,20190423,1
12773306,20190429,1
12773306,20190502,1
12773306,20190506,1
12773306,20190509,1
12773306,20190513,1
12773306,20190520,1
12773306,20190527,1
12773306,20190531,1
12773309,20190212,1
12773309,20190213,1
12773309,20190214,1
12773309,20190215,1
12773309,20190219,1
12773309,20190220,1
12773309,20190221,1
12773309,20190222,1
12773309,20190416,1
12773309,20190417,1
12773309,20190418,1
12773309,20190419,1
12773309,20190424,1
12773309,20190425,1
12773309,20190426,1
12773309,20190503,1
12773309,20190507,1
12773309,20190510,1
12773309,20190514,1
12773309,20190515,1
12773309,20190516,1
12773309,20190517,1
12773309,20190521,1
12773309,20190522,1
12773309,20190523,1
12773309,20190524,1
12773309,20190528,1
12773309,20190529,1
12773309,20190604,1
12773309,20190605,1
12773309,20190606,1
12773309,20190607,1
12773309,20190612,1
12773309,20190613,1
12773309,20190614,1
12773309,20190618,1
12773309,20190619,1
12773309,20190620,1
12773309,20190621,1
12773309,20190625,1
12773309,20190626,1
12773309,20190627,1
12773309,20190628,1
12779762,20190422,1
12773308,20190123,1
12773308,20190124,1
12773308,20190125,1
12773308,20190129,1
12773308,20190130,1
12773308,20190131,1
12773308,20190201,1
12773308,20190205,1
12773308,20190206,1
12773308,20190207,1
12773308,20190208,1
12773308,20190226,1
12773308,20190227,1
12773308,20190228,1
12773308,20190301,1
12773308,20190305,1
12773308,20190306,1
12773308,20190307,1
12773308,20190308,1
12773308,20190312,1
12773308,20190313,1
12773308,20190314,1
12773308,20190315,1
12773308,20190319,1
12773308,20190320,1
12773308,20190321,1
12773308,20190322,1
12773308,20190326,1
12773308,20190327,1
12773308,20190328,1
12773308,20190329,1
12773308,20190402,1
12773308,20190403,1
12773308,20190404,1
12773308,20190405,1
12773308,20190409,1
12773308,20190410,1
12773308,20190411,1
12773308,20190412,1
12773308,20190430,1
2773312,20190126,1
2773312,20190202,1
2773312,20190209,1
2773312,20190216,1
2773312,20190223,1
2773312,20190302,1
2773312,20190309,1
2773312,20190316,1
2773312,20190323,1
2773312,20190330,1
2773312,20190406,1
2773312,20190413,1
2773312,20190420,1
2773312,20190504,1
2773312,20190511,1
2773312,20190518,1
2773312,20190525,1
2773313,20190427,1
2773313,20190601,1
2773313,20190608,1
2773313,20190609,1
2773313,20190615,1
2773313,20190622,1
2773313,20190629,1
2773313,20190706,1
2773313,20190713,1
2773313,20190720,1
2773314,20190531,1
2773314,20190705,1
2773314,20190712,1
2773314,20190719,1
2773315,20190125,1
2773315,20190201,1
2773315,20190208,1
2773315,20190301,1
2773315,20190308,1
2773315,20190315,1
2773315,20190322,1
2773315,20190329,1
2773315,20190405,1
2773315,20190412,1
2773315,20190430,1
2773316,20190621,1
2773317,20190215,1
2773317,20190222,1
2773317,20190419,1
2773317,20190426,1
2773317,20190503,1
2773317,20190507,1
2773317,20190510,1
2773317,20190517,1
2773317,20190524,1
2773317,20190529,1
2773317,20190607,1
2773317,20190614,1
2773317,20190628,1
2773311,20190714,1
2773310,20190701,1
2773310,20190702,1
2773310,20190703,1
2773310,20190704,1
2773310,20190708,1
2773310,20190709,1
2773310,20190710,1
2773310,20190711,1
2773310,20190715,1
2773310,20190716,1
2773310,20190717,1
2773310,20190718,1
12773313,20190428,1
12773313,20190602,1
12773313,20190609,1
12773313,20190610,1
12773313,20190616,1
12773313,20190623,1
12773313,20190630,1
12773313,20190707,1
12773313,20190714,1
12773313,20190721,1
12773314,20190601,1
12773314,20190706,1
12773314,20190713,1
12773314,20190720,1
12773311,20190715,1
2779762,20190421,1
2773309,20190211,1
2773309,20190212,1
2773309,20190213,1
2773309,20190214,1
2773309,20190218,1
2773309,20190219,1
2773309,20190220,1
2773309,20190221,1
2773309,20190415,1
2773309,20190416,1
2773309,20190417,1
2773309,20190418,1
2773309,20190423,1
2773309,20190424,1
2773309,20190425,1
2773309,20190502,1
2773309,20190506,1
2773309,20190509,1
2773309,20190513,1
2773309,20190514,1
2773309,20190515,1
2773309,20190516,1
2773309,20190520,1
2773309,20190521,1
2773309,20190522,1
2773309,20190523,1
2773309,20190527,1
2773309,20190528,1
2773309,20190603,1
2773309,20190604,1
2773309,20190605,1
2773309,20190606,1
2773309,20190611,1
2773309,20190612,1
2773309,20190613,1
2773309,20190617,1
2773309,20190618,1
2773309,20190619,1
2773309,20190620,1
2773309,20190624,1
2773309,20190625,1
2773309,20190626,1
2773309,20190627,1
12773312,20190127,1
12773312,20190203,1
12773312,20190210,1
12773312,20190217,1
12773312,20190224,1
12773312,20190303,1
12773312,20190310,1
12773312,20190317,1
12773312,20190324,1
12773312,20190331,1
12773312,20190407,1
12773312,20190414,1
12773312,20190421,1
12773312,20190505,1
12773312,20190512,1
12773312,20190519,1
12773312,20190526,1
12773310,20190702,1
12773310,20190703,1
12773310,20190704,1
12773310,20190705,1
12773310,20190709,1
12773310,20190710,1
12773310,20190711,1
12773310,20190712,1
12773310,20190716,1
12773310,20190717,1
12773310,20190718,1
12773310,20190719,1
12773317,20190216,1
12773317,20190223,1
12773317,20190420,1
12773317,20190427,1
12773317,20190504,1
12773317,20190508,1
12773317,20190511,1
12773317,20190518,1
12773317,20190525,1
12773317,20190530,1
12773317,20190608,1
12773317,20190615,1
12773317,20190629,1
2773307,20190602,1
2773307,20190610,1
2773307,20190616,1
2773307,20190623,1
2773307,20190630,1
2773307,20190707,1
2773308,20190122,1
2773308,20190123,1
2773308,20190124,1
2773308,20190128,1
2773308,20190129,1
2773308,20190130,1
2773308,20190131,1
2773308,20190204,1
2773308,20190205,1
2773308,20190206,1
2773308,20190207,1
2773308,20190225,1
2773308,20190226,1
2773308,20190227,1
2773308,20190228,1
2773308,20190304,1
2773308,20190305,1
2773308,20190306,1
2773308,20190307,1
2773308,20190311,1
2773308,20190312,1
2773308,20190313,1
2773308,20190314,1
2773308,20190318,1
2773308,20190319,1
2773308,20190320,1
2773308,20190321,1
2773308,20190325,1
2773308,20190326,1
2773308,20190327,1
2773308,20190328,1
2773308,20190401,1
2773308,20190402,1
