service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2787901,0,0,0,0,0,0,0,20190224,20190505
2787900,0,0,0,0,0,0,0,20190127,20190526
2787904,0,0,0,0,0,0,0,20190309,20190720
2823935,0,0,0,0,0,0,0,20190301,20190705
2823929,0,0,0,0,0,0,0,20190708,20190718
2823928,0,0,0,0,0,0,0,20190122,20190418
2823926,0,0,0,0,0,0,0,20190225,20190704
12773612,0,0,0,0,0,0,0,20190311,20190715
12823933,0,0,0,0,0,0,0,20190601,20190720
2823932,0,0,0,0,0,0,0,20190125,20190419
2823933,0,0,0,0,0,0,0,20190531,20190719
12823935,0,0,0,0,0,0,0,20190302,20190706
2823930,0,0,0,0,0,0,0,20190126,20190525
2823931,0,0,0,0,0,0,0,20190223,20190504
12823930,0,0,0,0,0,0,0,20190127,20190526
12823931,0,0,0,0,0,0,0,20190224,20190505
12787900,0,0,0,0,0,0,0,20190128,20190527
12823932,0,0,0,0,0,0,0,20190126,20190420
12787901,0,0,0,0,0,0,0,20190225,20190506
12787904,0,0,0,0,0,0,0,20190310,20190721
12823928,0,0,0,0,0,0,0,20190123,20190419
12823929,0,0,0,0,0,0,0,20190709,20190719
12823926,0,0,0,0,0,0,0,20190226,20190705
2773612,0,0,0,0,0,0,0,20190310,20190714
