service_id,date,exception_type
2773328,20190601,1
2773328,20190608,1
2773328,20190609,1
2773328,20190615,1
2773328,20190622,1
2773328,20190629,1
2773328,20190706,1
2773328,20190713,1
2773328,20190714,1
2773328,20190720,1
2773327,20190126,1
2773327,20190202,1
2773327,20190209,1
2773327,20190216,1
2773327,20190223,1
2773327,20190302,1
2773327,20190309,1
2773327,20190316,1
2773327,20190323,1
2773327,20190330,1
2773327,20190406,1
2773327,20190413,1
2773327,20190420,1
2773327,20190427,1
2773327,20190504,1
2773327,20190511,1
2773327,20190518,1
2773327,20190525,1
2773329,20190215,1
2773329,20190222,1
2773329,20190419,1
2773329,20190426,1
2773329,20190503,1
2773329,20190507,1
2773329,20190510,1
2773329,20190517,1
2773329,20190524,1
2773329,20190529,1
2773329,20190607,1
2773329,20190614,1
2773329,20190621,1
2773329,20190628,1
2773320,20190421,1
2773323,20190122,1
2773323,20190123,1
2773323,20190124,1
2773323,20190128,1
2773323,20190129,1
2773323,20190130,1
2773323,20190131,1
2773323,20190204,1
2773323,20190205,1
2773323,20190206,1
2773323,20190207,1
2773323,20190225,1
2773323,20190226,1
2773323,20190227,1
2773323,20190228,1
2773323,20190304,1
2773323,20190305,1
2773323,20190306,1
2773323,20190307,1
2773323,20190311,1
2773323,20190312,1
2773323,20190313,1
2773323,20190314,1
2773323,20190318,1
2773323,20190319,1
2773323,20190320,1
2773323,20190321,1
2773323,20190325,1
2773323,20190326,1
2773323,20190327,1
2773323,20190328,1
2773323,20190401,1
2773323,20190402,1
2773323,20190403,1
2773323,20190404,1
2773323,20190408,1
2773323,20190409,1
2773323,20190410,1
2773323,20190411,1
2773323,20190429,1
2773321,20190211,1
2773321,20190212,1
2773321,20190213,1
2773321,20190214,1
2773321,20190218,1
2773321,20190219,1
2773321,20190220,1
2773321,20190221,1
2773321,20190415,1
2773321,20190416,1
2773321,20190417,1
2773321,20190418,1
2773321,20190423,1
2773321,20190424,1
2773321,20190425,1
2773321,20190502,1
2773321,20190506,1
2773321,20190509,1
2773321,20190513,1
2773321,20190514,1
2773321,20190515,1
2773321,20190516,1
2773321,20190520,1
2773321,20190521,1
2773321,20190522,1
2773321,20190523,1
2773321,20190527,1
2773321,20190528,1
2773321,20190603,1
2773321,20190604,1
2773321,20190605,1
2773321,20190606,1
2773321,20190611,1
2773321,20190612,1
2773321,20190613,1
2773321,20190617,1
2773321,20190618,1
2773321,20190619,1
2773321,20190620,1
2773321,20190624,1
2773321,20190625,1
2773321,20190626,1
2773321,20190627,1
2773325,20190701,1
2773325,20190702,1
2773325,20190703,1
2773325,20190704,1
2773325,20190708,1
2773325,20190709,1
2773325,20190710,1
2773325,20190711,1
2773325,20190715,1
2773325,20190716,1
2773325,20190717,1
2773325,20190718,1
12773331,20190126,1
12773331,20190202,1
12773331,20190209,1
12773331,20190302,1
12773331,20190309,1
12773331,20190316,1
12773331,20190323,1
12773331,20190330,1
12773331,20190406,1
12773331,20190413,1
12773331,20190501,1
12773332,20190601,1
12773332,20190706,1
12773332,20190713,1
12773332,20190720,1
12773323,20190123,1
12773323,20190124,1
12773323,20190125,1
12773323,20190129,1
12773323,20190130,1
12773323,20190131,1
12773323,20190201,1
12773323,20190205,1
12773323,20190206,1
12773323,20190207,1
12773323,20190208,1
12773323,20190226,1
12773323,20190227,1
12773323,20190228,1
12773323,20190301,1
12773323,20190305,1
12773323,20190306,1
12773323,20190307,1
12773323,20190308,1
12773323,20190312,1
12773323,20190313,1
12773323,20190314,1
12773323,20190315,1
12773323,20190319,1
12773323,20190320,1
12773323,20190321,1
12773323,20190322,1
12773323,20190326,1
12773323,20190327,1
12773323,20190328,1
12773323,20190329,1
12773323,20190402,1
12773323,20190403,1
12773323,20190404,1
12773323,20190405,1
12773323,20190409,1
