service_id,date,exception_type
12773620,20190422,1
12773621,20190702,1
12773621,20190703,1
12773621,20190704,1
12773621,20190705,1
12773621,20190709,1
12773621,20190710,1
12773621,20190711,1
12773621,20190712,1
12773621,20190716,1
12773621,20190717,1
12773621,20190718,1
12773621,20190719,1
2773630,20190531,1
2773630,20190705,1
2773630,20190712,1
2773630,20190719,1
12773619,20190610,1
12773619,20190715,1
12773627,20190126,1
12773627,20190202,1
12773627,20190209,1
12773627,20190302,1
12773627,20190309,1
12773627,20190316,1
12773627,20190323,1
12773627,20190330,1
12773627,20190406,1
12773627,20190413,1
12773627,20190501,1
12773627,20190504,1
12773627,20190508,1
12773627,20190511,1
12773627,20190518,1
12773627,20190525,1
12773627,20190530,1
12773618,20190128,1
12773618,20190204,1
12773618,20190211,1
12773618,20190218,1
12773618,20190225,1
12773618,20190304,1
12773618,20190311,1
12773618,20190318,1
12773618,20190325,1
12773618,20190401,1
12773618,20190408,1
12773618,20190415,1
12773618,20190423,1
12773618,20190429,1
12773618,20190502,1
12773618,20190506,1
12773618,20190509,1
12773618,20190513,1
12773618,20190520,1
12773618,20190527,1
12773618,20190531,1
12773617,20190603,1
12773617,20190611,1
12773617,20190617,1
12773617,20190624,1
12773617,20190701,1
12773617,20190708,1
12773629,20190216,1
12773629,20190223,1
12773629,20190420,1
12773629,20190427,1
12773629,20190608,1
12773629,20190615,1
12773629,20190622,1
12773629,20190629,1
12773624,20190212,1
12773624,20190213,1
12773624,20190214,1
12773624,20190215,1
12773624,20190219,1
12773624,20190220,1
12773624,20190221,1
12773624,20190222,1
12773624,20190416,1
12773624,20190417,1
12773624,20190418,1
12773624,20190419,1
12773624,20190424,1
12773624,20190425,1
12773624,20190426,1
12773624,20190604,1
12773624,20190605,1
12773624,20190606,1
12773624,20190607,1
12773624,20190612,1
12773624,20190613,1
12773624,20190614,1
12773624,20190618,1
12773624,20190619,1
12773624,20190620,1
12773624,20190621,1
12773624,20190625,1
12773624,20190626,1
12773624,20190627,1
12773624,20190628,1
12773623,20190123,1
12773623,20190124,1
12773623,20190125,1
12773623,20190129,1
12773623,20190130,1
12773623,20190131,1
12773623,20190201,1
12773623,20190205,1
12773623,20190206,1
12773623,20190207,1
12773623,20190208,1
12773623,20190226,1
12773623,20190227,1
12773623,20190228,1
12773623,20190301,1
12773623,20190305,1
12773623,20190306,1
12773623,20190307,1
12773623,20190308,1
12773623,20190312,1
12773623,20190313,1
12773623,20190314,1
12773623,20190315,1
12773623,20190319,1
12773623,20190320,1
12773623,20190321,1
12773623,20190322,1
12773623,20190326,1
12773623,20190327,1
12773623,20190328,1
12773623,20190329,1
12773623,20190402,1
12773623,20190403,1
12773623,20190404,1
12773623,20190405,1
12773623,20190409,1
12773623,20190410,1
12773623,20190411,1
12773623,20190412,1
12773623,20190430,1
12773623,20190503,1
12773623,20190507,1
12773623,20190510,1
12773623,20190514,1
12773623,20190515,1
12773623,20190516,1
12773623,20190517,1
12773623,20190521,1
12773623,20190522,1
12773623,20190523,1
12773623,20190524,1
12773623,20190528,1
12773623,20190529,1
12773626,20190127,1
12773626,20190203,1
12773626,20190210,1
12773626,20190217,1
12773626,20190224,1
12773626,20190303,1
