service_id,date,exception_type
12773340,20190601,1
12773340,20190608,1
12773340,20190615,1
12773340,20190622,1
12773340,20190629,1
12773340,20190706,1
12773340,20190713,1
12773340,20190720,1
2773339,20190125,1
2773339,20190201,1
2773339,20190208,1
2773339,20190215,1
2773339,20190222,1
2773339,20190301,1
2773339,20190308,1
2773339,20190315,1
2773339,20190322,1
2773339,20190329,1
2773339,20190405,1
2773339,20190412,1
2773339,20190419,1
2773339,20190426,1
2773339,20190430,1
2773339,20190503,1
2773339,20190507,1
2773339,20190510,1
2773339,20190517,1
2773339,20190524,1
2773339,20190529,1
2773338,20190126,1
2773338,20190202,1
2773338,20190209,1
2773338,20190216,1
2773338,20190223,1
2773338,20190302,1
2773338,20190309,1
2773338,20190316,1
2773338,20190323,1
2773338,20190330,1
2773338,20190406,1
2773338,20190413,1
2773338,20190420,1
2773338,20190421,1
2773338,20190427,1
2773338,20190504,1
2773338,20190511,1
2773338,20190518,1
2773338,20190525,1
2773338,20190601,1
2773338,20190608,1
2773338,20190609,1
2773338,20190615,1
2773338,20190622,1
2773338,20190629,1
2773338,20190706,1
2773338,20190713,1
2773338,20190714,1
2773338,20190720,1
12773335,20190128,1
12773335,20190204,1
12773335,20190211,1
12773335,20190218,1
12773335,20190225,1
12773335,20190304,1
12773335,20190311,1
12773335,20190318,1
12773335,20190325,1
12773335,20190401,1
12773335,20190408,1
12773335,20190415,1
12773335,20190423,1
12773335,20190429,1
12773335,20190502,1
12773335,20190506,1
12773335,20190509,1
12773335,20190513,1
12773335,20190520,1
12773335,20190527,1
12773335,20190531,1
12773335,20190603,1
12773335,20190611,1
12773335,20190617,1
12773335,20190624,1
12773335,20190701,1
12773335,20190708,1
2773337,20190603,1
2773337,20190604,1
2773337,20190605,1
2773337,20190606,1
2773337,20190611,1
2773337,20190612,1
2773337,20190613,1
2773337,20190617,1
2773337,20190618,1
2773337,20190619,1
2773337,20190620,1
2773337,20190624,1
2773337,20190625,1
2773337,20190626,1
2773337,20190627,1
2773337,20190701,1
2773337,20190702,1
2773337,20190703,1
2773337,20190704,1
2773337,20190708,1
2773337,20190709,1
2773337,20190710,1
2773337,20190711,1
2773337,20190715,1
2773337,20190716,1
2773337,20190717,1
2773337,20190718,1
12773336,20190123,1
12773336,20190124,1
12773336,20190125,1
12773336,20190129,1
12773336,20190130,1
12773336,20190131,1
12773336,20190201,1
12773336,20190205,1
12773336,20190206,1
12773336,20190207,1
12773336,20190208,1
12773336,20190212,1
12773336,20190213,1
12773336,20190214,1
12773336,20190215,1
12773336,20190219,1
12773336,20190220,1
12773336,20190221,1
12773336,20190222,1
12773336,20190226,1
12773336,20190227,1
12773336,20190228,1
12773336,20190301,1
12773336,20190305,1
12773336,20190306,1
12773336,20190307,1
12773336,20190308,1
12773336,20190312,1
12773336,20190313,1
12773336,20190314,1
12773336,20190315,1
12773336,20190319,1
12773336,20190320,1
12773336,20190321,1
12773336,20190322,1
12773336,20190326,1
12773336,20190327,1
12773336,20190328,1
12773336,20190329,1
12773336,20190402,1
12773336,20190403,1
12773336,20190404,1
12773336,20190405,1
12773336,20190409,1
12773336,20190410,1
12773336,20190411,1
12773336,20190412,1
12773336,20190416,1
12773336,20190417,1
12773336,20190418,1
12773336,20190419,1
12773336,20190424,1
